"Educational attainment for adults age 25 and older for the United States, States, and counties, 1970–2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIPS Code,State,Area name,2013 Urban Influence Code,2024 Urban Influence Code,2013 Rural-urban Continuum Code,2023 Rural-urban Continuum Code,"Less than a high school diploma, 1970","High school diploma only, 1970","Some college (1-3 years), 1970","Four years of college or higher, 1970","Percent of adults with less than a high school diploma, 1970","Percent of adults with a high school diploma only, 1970","Percent of adults completing some college (1-3 years), 1970","Percent of adults completing four years of college or higher, 1970","Less than a high school diploma, 1980","High school diploma only, 1980","Some college (1-3 years), 1980","Four years of college or higher, 1980","Percent of adults with less than a high school diploma, 1980","Percent of adults with a high school diploma only, 1980","Percent of adults completing some college (1-3 years), 1980","Percent of adults completing four years of college or higher, 1980","Less than high school graduate, 1990","High school graduate (or equivalency), 1990","Some college or associate degree, 1990","Bachelor's degree or higher, 1990","Percent of adults who are not high school graduates, 1990","Percent of adults who are high school graduates (or equivalent), 1990","Percent of adults completing some college or associate degree, 1990","Percent of adults with a bachelor's degree or higher, 1990","Less than high school graduate, 2000","High school graduate (or equivalency), 2000","Some college or associate degree, 2000","Bachelor's degree or higher, 2000","Percent of adults who are not high school graduates, 2000","Percent of adults who are high school graduates (or equivalent), 2000","Percent of adults completing some college or associate degree, 2000","Percent of adults with a bachelor's degree or higher, 2000","Less than high school graduate, 2008-12","High school graduate (or equivalency), 2008-12","Some college or associate degree, 2008-12","Bachelor's degree or higher, 2008-12","Percent of adults who are not high school graduates, 2008-12","Percent of adults who are high school graduates (or equivalent), 2008-12","Percent of adults completing some college or associate degree, 2008-12","Percent of adults with a bachelor's degree or higher, 2008-12","Less than high school graduate, 2019-23","High school graduate (or equivalency), 2019-23","Some college or associate degree, 2019-23","Bachelor's degree or higher, 2019-23","Percent of adults who are not high school graduates, 2019-23","Percent of adults who are high school graduates (or equivalent), 2019-23","Percent of adults completing some college or associate degree, 2019-23","Percent of adults with a bachelor's degree or higher, 2019-23"
01000,AL,Alabama,,,,,"1,062,306","468,269","136,287","141,936",58.7,25.9,7.5,7.8,"964,840","704,207","278,205","270,063",43.5,31.8,12.5,12.2,"843,638","749,591","553,512","399,228",33.1,29.4,21.7,15.7,"714,081","877,216","746,495","549,608",24.7,30.4,25.9,19.0,"551,030","991,406","918,987","705,001",17.4,31.3,29.0,22.3,"409,381","1,046,374","1,035,466","957,081",11.9,30.3,30.0,27.8
01001,AL,Autauga County,2,4,2,2,"6,611","3,757",933,767,54.8,31.1,7.7,6.4,"7,074","6,145","2,104","2,117",40.6,35.2,12.1,12.1,"6,252","6,671","4,912","3,026",30.0,32.0,23.5,14.5,"5,872","9,332","7,413","4,972",21.3,33.8,26.9,18.0,"5,232","11,874","10,409","7,629",14.9,33.8,29.6,21.7,"3,963","13,321","11,953","11,530",9.7,32.7,29.3,28.3
01003,AL,Baldwin County,2,4,3,3,"18,726","8,426","2,334","2,038",59.4,26.7,7.4,6.5,"18,125","15,380","6,602","5,498",39.7,33.7,14.5,12.1,"17,309","20,544","15,900","10,870",26.8,31.8,24.6,16.8,"17,258","28,428","28,178","22,146",18.0,29.6,29.3,23.1,"14,792","36,675","40,497","35,307",11.6,28.8,31.8,27.7,"14,221","47,369","53,990","56,408",8.3,27.5,31.4,32.8
01005,AL,Barbour County,6,5,6,6,"8,120","2,242",581,861,68.8,19.0,4.9,7.3,"7,759","3,671","1,362","1,300",55.1,26.1,9.7,9.2,"6,965","4,258","2,622","1,857",44.4,27.1,16.7,11.8,"6,679","6,124","4,025","2,068",35.3,32.4,21.3,10.9,"5,013","6,320","4,892","2,757",26.4,33.3,25.8,14.5,"3,911","6,629","5,067","2,021",22.2,37.6,28.7,11.5
01007,AL,Bibb County,1,1,1,1,"5,272","1,402",238,302,73.1,19.4,3.3,4.2,"5,254","2,611",536,433,59.5,29.6,6.1,4.9,"4,850","3,407","1,332",476,48.2,33.8,13.2,4.7,"4,984","4,838","2,756",962,36.8,35.7,20.4,7.1,"3,702","6,457","3,963","1,396",23.9,41.6,25.5,9.0,"3,132","6,552","4,420","1,827",19.7,41.1,27.7,11.5
01009,AL,Blount County,1,1,1,1,"10,677","3,440",626,404,70.5,22.7,4.1,2.7,"11,666","7,011","1,819","1,144",53.9,32.4,8.4,5.3,"9,960","8,763","4,745","1,773",39.5,34.7,18.8,7.0,"9,960","12,136","8,371","3,235",29.6,36.0,24.8,9.6,"9,419","13,994","10,498","4,792",24.3,36.2,27.1,12.4,"7,093","14,600","12,912","6,386",17.3,35.6,31.5,15.6
01011,AL,Bullock County,6,6,6,8,"4,245",958,305,314,72.9,16.5,5.2,5.4,"3,473","1,324",574,516,59.0,22.5,9.8,8.8,"3,428","1,669",954,676,51.0,24.8,14.2,10.0,"2,992","2,667","1,325",586,39.5,35.2,17.5,7.7,"2,249","2,729","1,697",900,29.7,36.0,22.4,11.9,"1,915","2,994","1,805",664,26.0,40.6,24.5,9.0
01013,AL,Butler County,6,6,6,6,"8,353","2,459",499,541,70.5,20.7,4.2,4.6,"6,929","3,635","1,016","1,029",55.0,28.8,8.1,8.2,"6,374","3,927","2,106","1,083",47.2,29.1,15.6,8.0,"4,439","4,749","3,146","1,433",32.2,34.5,22.9,10.4,"3,341","5,463","3,465","1,812",23.7,38.8,24.6,12.9,"1,633","6,182","3,537","1,812",12.4,47.0,26.9,13.8
01015,AL,Calhoun County,2,4,3,3,"30,535","13,804","3,823","3,921",58.6,26.5,7.3,7.5,"28,268","21,411","8,449","7,213",43.3,32.8,12.9,11.0,"23,633","21,711","16,835","10,266",32.6,30.0,23.2,14.2,"19,318","23,856","19,576","11,265",26.1,32.2,26.4,15.2,"16,603","26,224","22,932","12,544",21.2,33.5,29.3,16.0,"10,940","27,117","24,416","16,154",13.9,34.5,31.1,20.5
01017,AL,Chambers County,5,5,6,6,"13,616","4,816",927,847,67.4,23.8,4.6,4.2,"12,616","6,544","2,238","1,710",54.6,28.3,9.7,7.4,"10,833","6,749","3,998","2,101",45.7,28.5,16.9,8.9,"8,778","7,863","5,517","2,339",35.8,32.1,22.5,9.5,"6,194","8,277","6,546","2,604",26.2,35.0,27.7,11.0,"4,010","9,415","7,488","3,571",16.4,38.5,30.6,14.6
