FIPS*,,Name,RUC Code,Percent of all people in poverty (2023),All people in poverty (2023) 90% confidence interval (Lower Bound),All people in poverty (2023) 90% confidence interval (Upper Bound),Percent of childen ages 0-17 in poverty 2023,children under ages 0-17 in poverty (2023) 90% confidence interval of estimate (Lower Bound),Childen ages 0-17 in poverty (2023) (Upper Bound)
35000,,New Mexico,,16.9,16.3,17.5,22.6,21.2,24
35001,,Bernalillo,2,13.5,12.1,14.9,17.9,15,20.8
35003,,Catron,9,18.6,13.9,23.3,34.1,22.5,45.7
35005,,Chaves,5,20.1,16.3,23.9,25.1,18.4,31.8
35006,,Cibola,6,23.7,18.6,28.8,31,21.8,40.2
35007,,Colfax,7,17.8,13.4,22.2,26.2,17.9,34.5
35009,,Curry,5,18.9,15.5,22.3,22.3,15.5,29.1
35011,,De Baca,9,18,13.4,22.6,30.6,20.2,41
35013,,Dona Ana,3,19.8,17.2,22.4,24.2,18.6,29.8
35015,,Eddy,5,16.5,13.6,19.4,18.9,14,23.8
35017,,Grant,7,19.9,15.7,24.1,27.2,18.3,36.1
35019,,Guadalupe,9,24.9,19,30.8,30.2,20.8,39.6
35021,,Harding,9,15.1,11.6,18.6,26.8,17.4,36.2
35023,,Hidalgo,9,24,18.1,29.9,32.7,22.2,43.2
35025,,Lea,5,17,13.8,20.2,20,14.8,25.2
35027,,Lincoln,7,16.2,12.3,20.1,28.1,19.2,37
35028,,Los Alamos,6,3.8,2.8,4.8,3.4,2.3,4.5
35029,,Luna,6,26.4,20.9,31.9,37.6,27.2,48
35031,,McKinley,5,34.3,30.8,37.8,41.8,35.4,48.2
35033,,Mora,8,20.9,15.9,25.9,27.6,17.9,37.3
35035,,Otero,4,19.4,16.1,22.7,30.8,24.4,37.2
35037,,Quay,7,22.8,17.4,28.2,32.7,21.8,43.6
35039,,Rio Arriba,6,18.5,14.4,22.6,27.1,20.2,34
35041,,Roosevelt,7,19.3,14.8,23.8,26.1,18.2,34
35043,,Sandoval,2,11.7,9.8,13.6,16,12.6,19.4
35045,,San Juan,3,19.9,17.2,22.6,26.3,21,31.6
35047,,San Miguel,6,24.7,19.8,29.6,30,20.6,39.4
35049,,Santa Fe,3,12.2,10.2,14.2,18.8,14.4,23.2
35051,,Sierra,6,23.5,18,29,35.4,23.1,47.7
35053,,Socorro,6,25.2,19.5,30.9,32.4,22.1,42.7
35055,,Taos,7,18.5,14.6,22.4,23.1,14.6,31.6
35057,,Torrance,2,23,17.9,28.1,32.3,22.3,42.3
35059,,Union,9,18.4,14,22.8,25.4,17,33.8
35061,,Valencia,2,17.3,14.7,19.9,23.9,18.4,29.4
,,,,,,,,,
"
See important notes about intercensal model-based poverty estimates.

*The 2023 Rural-urban Continuum Codes classify metropolitan counties (codes 1 through 3) by the population of the Metropolitan Statistical Area (MSA) and nonmetropolitan counties (codes 4 through 9) by degree of urbanization and proximity to metro areas. See rural-urban continuum codes for precise definitions of each code.

Source: Census Bureau, Small Area Income and Poverty Estimates.",,,,,,,,,
,,,,,,,,,
*See the Census Bureau web site for a description of FIPS codes.,,,,,,,,,
