FIPS*,,Name,RUC Code,Percent (All people in poverty (2023)),Lower Bound (All people in poverty (2023)),Upper Bound (All people in poverty (2023)),Percent (Children ages 0-17 in poverty (2023)),Lower Bound (Children ages 0-17 in poverty (2023)),Upper Bound (Children ages 0-17 in poverty (2023))
48000,,Texas,,13.7,13.5,13.9,18.4,17.9,18.9
48001,,Anderson,7,21.4,17.2,25.6,24.6,18.6,30.6
48003,,Andrews,6,11.4,8.9,13.9,13.2,9.1,17.3
48005,,Angelina,5,17.2,14.5,19.9,24.9,19.8,30
48007,,Aransas,2,17.1,13.5,20.7,27.9,19.1,36.7
48009,,Archer,3,9.7,7.5,11.9,12.6,8.8,16.4
48011,,Armstrong,2,10.5,8,13,15.3,10.5,20.1
48013,,Atascosa,1,18.4,15.4,21.4,22.6,16.2,29
48015,,Austin,1,11.6,9.1,14.1,18,12.6,23.4
48017,,Bailey,6,16.4,12.5,20.3,23.4,16.1,30.7
48019,,Bandera,1,12.9,10.5,15.3,18.6,12.9,24.3
48021,,Bastrop,1,11.3,9.2,13.4,16.2,11.6,20.8
48023,,Baylor,9,17.4,13.6,21.2,22.5,16.1,28.9
48025,,Bee,6,24.9,18.8,31,28.2,19.4,37
48027,,Bell,2,11.5,9.9,13.1,15.7,12,19.4
48029,,Bexar,1,14.7,13.7,15.7,19.1,17.1,21.1
48031,,Blanco,8,8.5,6.4,10.6,13.4,9.1,17.7
48033,,Borden,9,11.9,9.2,14.6,17.9,12.7,23.1
48035,,Bosque,2,11.7,9,14.4,19.4,13.2,25.6
48037,,Bowie,3,14.8,11.8,17.8,19.5,13.3,25.7
48039,,Brazoria,1,9.4,7.6,11.2,12.1,8.8,15.4
48041,,Brazos,2,23.7,22,25.4,18.9,15.2,22.6
48043,,Brewster,7,13.7,10.2,17.2,19.8,13.6,26
48045,,Briscoe,8,13.9,10.5,17.3,21.7,14.9,28.5
48047,,Brooks,9,29.7,22.2,37.2,45,30.4,59.6
48049,,Brown,5,14.8,11.5,18.1,21.5,14.9,28.1
48051,,Burleson,2,13.9,10.6,17.2,21.1,14.4,27.8
48053,,Burnet,6,9.9,8,11.8,14,9.8,18.2
48055,,Caldwell,1,13.7,11,16.4,19.4,13.9,24.9
48057,,Calhoun,6,14.6,11,18.2,21.9,15,28.8
48059,,Callahan,3,12.7,9.8,15.6,17.8,12,23.6
48061,,Cameron,2,23.5,21.6,25.4,33.9,30,37.8
48063,,Camp,8,17.6,13.8,21.4,26.4,18.8,34
48065,,Carson,2,9.1,7,11.2,12.8,8.9,16.7
48067,,Cass,6,16.5,13.1,19.9,23.3,16.2,30.4
48069,,Castro,9,17.7,14,21.4,21.7,15.3,28.1
48071,,Chambers,1,8.6,6.7,10.5,10.3,7,13.6
48073,,Cherokee,6,18.9,16.1,21.7,27.7,22.3,33.1
48075,,Childress,9,19.9,15.1,24.7,23.7,16.3,31.1
48077,,Clay,3,11.7,9.1,14.3,17.1,11.9,22.3
48079,,Cochran,2,22,17,27,33.8,23.8,43.8
48081,,Coke,8,13,9.9,16.1,19,13,25
48083,,Coleman,8,17.7,13.5,21.9,26.9,18.2,35.6
48085,,Collin,1,6.4,5.8,7,6.6,5.4,7.8
