fips,state,county_state,year,overall_food_insecurity_rate,number_of_food_insecure_persons_overall,food_insecurity_rate_among_black_persons_all_ethnicities,food_insecurity_rate_among_hispanic_persons_any_race,food_insecurity_rate_among_white_non_hispanic_persons,snap_threshold,percent_fi_snap_threshold,percent_fi_snap_threshold_2,child_food_insecurity_rate,number_of_food_insecure_children,percent_food_insecure_children_in_hh_w_hh_incomes_below_185_fpl,percent_food_insecure_children_in_hh_w_hh_incomes_above_185_fpl,cost_per_meal,weighted_weekly_needed_by_fi,weighted_annual_food_budget_shortfall,ruc_code,percent_of_all_people_in_poverty_2023,percent_of_all_people_in_poverty_90_percent_confidence_inrerval_lower_bound,percent_of_people_in_poverty_2023_90_percent_confidence_interval_of_estimate_upper_bound,percent_of_childen_ages_0_17_in_poverty_2023,percent_of_childen_ages_0_17_in_poverty_2023_90_percent_confidence_interval_lower_bound,percent_of_childen_ages_0_17_in_poverty_2023_90_percent_confidence_interval_of_estimate_upper_bound,all_people_in_poverty_2023_90_percent_confidence_interval_lower_bound,all_people_in_poverty_2023_90_percent_confidence_interval_upper_bound,children_under_ages_0_17_in_poverty_2023_90_percent_confidence_interval_of_estimate_lower_bound,childen_ages_0_17_in_poverty_2023_upper_bound,percent_all_people_in_poverty_2023,lower_bound_all_people_in_poverty_2023,upper_bound_all_people_in_poverty_2023,percent_children_ages_0_17_in_poverty_2023,lower_bound_children_ages_0_17_in_poverty_2023,upper_bound_children_ages_0_17_in_poverty_2023,rural_urban_continuum_code_2023,urban_influence_code_2013,metro_2023,civilian_labor_force_2000,employed_2000,unemployed_2000,unemployment_rate_2000,civilian_labor_force_2001,employed_2001,unemployed_2001,unemployment_rate_2001,civilian_labor_force_2002,employed_2002,unemployed_2002,unemployment_rate_2002,civilian_labor_force_2003,employed_2003,unemployed_2003,unemployment_rate_2003,civilian_labor_force_2004,employed_2004,unemployed_2004,unemployment_rate_2004,civilian_labor_force_2005,employed_2005,unemployed_2005,unemployment_rate_2005,civilian_labor_force_2006,employed_2006,unemployed_2006,unemployment_rate_2006,civilian_labor_force_2007,employed_2007,unemployed_2007,unemployment_rate_2007,civilian_labor_force_2008,employed_2008,unemployed_2008,unemployment_rate_2008,civilian_labor_force_2009,employed_2009,unemployed_2009,unemployment_rate_2009,civilian_labor_force_2010,employed_2010,unemployed_2010,unemployment_rate_2010,civilian_labor_force_2011,employed_2011,unemployed_2011,unemployment_rate_2011,civilian_labor_force_2012,employed_2012,unemployed_2012,unemployment_rate_2012,civilian_labor_force_2013,employed_2013,unemployed_2013,unemployment_rate_2013,civilian_labor_force_2014,employed_2014,unemployed_2014,unemployment_rate_2014,civilian_labor_force_2015,employed_2015,unemployed_2015,unemployment_rate_2015,civilian_labor_force_2016,employed_2016,unemployed_2016,unemployment_rate_2016,civilian_labor_force_2017,employed_2017,unemployed_2017,unemployment_rate_2017,civilian_labor_force_2018,employed_2018,unemployed_2018,unemployment_rate_2018,civilian_labor_force_2019,employed_2019,unemployed_2019,unemployment_rate_2019,civilian_labor_force_2020,employed_2020,unemployed_2020,unemployment_rate_2020,civilian_labor_force_2021,employed_2021,unemployed_2021,unemployment_rate_2021,civilian_labor_force_2022,employed_2022,unemployed_2022,unemployment_rate_2022,civilian_labor_force_2023,employed_2023,unemployed_2023,unemployment_rate_2023,median_household_income_2022,med_hh_income_percent_of_state_total_2022,na,na_2,na_3,na_4,x1970,x1970_2,x1,x1970_3,na_5,na_6,na_7,na_8,x1980,x1980_2,x1_2,x1980_3,na_9,na_10,na_11,na_12,x1990,x1990_2,x1990_3,x1990_4,na_13,na_14,na_15,na_16,x2000,x2000_2,x2000_3,x2000_4,na_17,na_18,na_19,na_20,x2008,x2008_2,x2008_3,x2008_4,na_21,na_22,na_23,na_24,x2019,x2019_2,x2019_3,x2019_4,na_25,na_26,na_27,na_28
04003,AZ,Cochise,2019,14.2%,17830,15%,19%,12%,185%,74%,26%,21.4%,5870,80%,20%,$3.06,$17.25,"$9,332,000",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.3,13.8,18.8,19.6,14,25.2,3,2,1,48657,46466,2191,4.5,50457,48011,2446,4.8,52619,49480,3139,6,53904,50832,3072,5.7,54516,51827,2689,4.9,55374,52724,2650,4.8,56835,54218,2617,4.6,56983,54709,2274,4,60117,56801,3316,5.5,63101,58204,4897,7.8,57146,51843,5303,9.3,56190,50870,5320,9.5,54343,49438,4905,9,51900,47097,4803,9.3,51273,46954,4319,8.4,50586,46891,3695,7.3,49799,46647,3152,6.3,48125,45406,2719,5.6,48079,45396,2683,5.6,48778,45986,2792,5.7,50273,46793,3480,6.9,48938,46465,2473,5.1,48730,46597,2133,4.4,49585,47337,2248,4.5,55254,74.3,2,4,3,3,13262,10004,3551,3228,44.1,33.3,11.8,10.7,15005,16715,9726,6650,31.2,34.8,20.2,13.8,14876,16357,20147,9850,24.3,26.7,32.9,16.1,15563,18670,27294,14247,20.5,24.6,36,18.8,13054,21853,34014,19884,14.7,24.6,38.3,22.4,9624,22464,32484,24687,10.8,25.2,36.4,27.7
04003,AZ,Cochise,2020,12.6%,15880,18%,19%,10%,185%,73%,27%,19.9%,5410,80%,21%,$3.12,$16.54,"$7,965,000",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.3,13.8,18.8,19.6,14,25.2,3,2,1,48657,46466,2191,4.5,50457,48011,2446,4.8,52619,49480,3139,6,53904,50832,3072,5.7,54516,51827,2689,4.9,55374,52724,2650,4.8,56835,54218,2617,4.6,56983,54709,2274,4,60117,56801,3316,5.5,63101,58204,4897,7.8,57146,51843,5303,9.3,56190,50870,5320,9.5,54343,49438,4905,9,51900,47097,4803,9.3,51273,46954,4319,8.4,50586,46891,3695,7.3,49799,46647,3152,6.3,48125,45406,2719,5.6,48079,45396,2683,5.6,48778,45986,2792,5.7,50273,46793,3480,6.9,48938,46465,2473,5.1,48730,46597,2133,4.4,49585,47337,2248,4.5,55254,74.3,2,4,3,3,13262,10004,3551,3228,44.1,33.3,11.8,10.7,15005,16715,9726,6650,31.2,34.8,20.2,13.8,14876,16357,20147,9850,24.3,26.7,32.9,16.1,15563,18670,27294,14247,20.5,24.6,36,18.8,13054,21853,34014,19884,14.7,24.6,38.3,22.4,9624,22464,32484,24687,10.8,25.2,36.4,27.7
04003,AZ,Cochise,2021,11.1%,13820,16%,16%,9%,185%,73%,27%,16.2%,4350,76%,24%,$3.39,$19.73,"$8,272,000",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.3,13.8,18.8,19.6,14,25.2,3,2,1,48657,46466,2191,4.5,50457,48011,2446,4.8,52619,49480,3139,6,53904,50832,3072,5.7,54516,51827,2689,4.9,55374,52724,2650,4.8,56835,54218,2617,4.6,56983,54709,2274,4,60117,56801,3316,5.5,63101,58204,4897,7.8,57146,51843,5303,9.3,56190,50870,5320,9.5,54343,49438,4905,9,51900,47097,4803,9.3,51273,46954,4319,8.4,50586,46891,3695,7.3,49799,46647,3152,6.3,48125,45406,2719,5.6,48079,45396,2683,5.6,48778,45986,2792,5.7,50273,46793,3480,6.9,48938,46465,2473,5.1,48730,46597,2133,4.4,49585,47337,2248,4.5,55254,74.3,2,4,3,3,13262,10004,3551,3228,44.1,33.3,11.8,10.7,15005,16715,9726,6650,31.2,34.8,20.2,13.8,14876,16357,20147,9850,24.3,26.7,32.9,16.1,15563,18670,27294,14247,20.5,24.6,36,18.8,13054,21853,34014,19884,14.7,24.6,38.3,22.4,9624,22464,32484,24687,10.8,25.2,36.4,27.7
04003,AZ,Cochise,2022,14.8%,18550,20%,23%,12%,185%,72%,28%,22.4%,5940,77%,23%,$3.78,$23.43,"$13,186,000",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.3,13.8,18.8,19.6,14,25.2,3,2,1,48657,46466,2191,4.5,50457,48011,2446,4.8,52619,49480,3139,6,53904,50832,3072,5.7,54516,51827,2689,4.9,55374,52724,2650,4.8,56835,54218,2617,4.6,56983,54709,2274,4,60117,56801,3316,5.5,63101,58204,4897,7.8,57146,51843,5303,9.3,56190,50870,5320,9.5,54343,49438,4905,9,51900,47097,4803,9.3,51273,46954,4319,8.4,50586,46891,3695,7.3,49799,46647,3152,6.3,48125,45406,2719,5.6,48079,45396,2683,5.6,48778,45986,2792,5.7,50273,46793,3480,6.9,48938,46465,2473,5.1,48730,46597,2133,4.4,49585,47337,2248,4.5,55254,74.3,2,4,3,3,13262,10004,3551,3228,44.1,33.3,11.8,10.7,15005,16715,9726,6650,31.2,34.8,20.2,13.8,14876,16357,20147,9850,24.3,26.7,32.9,16.1,15563,18670,27294,14247,20.5,24.6,36,18.8,13054,21853,34014,19884,14.7,24.6,38.3,22.4,9624,22464,32484,24687,10.8,25.2,36.4,27.7
04003,AZ,Cochise,2023,16.3%,20490,23%,25%,13%,185%,69%,31%,22.6%,5940,80%,20%,$3.38,$21.13,"$13,135,000",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.3,13.8,18.8,19.6,14,25.2,3,2,1,48657,46466,2191,4.5,50457,48011,2446,4.8,52619,49480,3139,6,53904,50832,3072,5.7,54516,51827,2689,4.9,55374,52724,2650,4.8,56835,54218,2617,4.6,56983,54709,2274,4,60117,56801,3316,5.5,63101,58204,4897,7.8,57146,51843,5303,9.3,56190,50870,5320,9.5,54343,49438,4905,9,51900,47097,4803,9.3,51273,46954,4319,8.4,50586,46891,3695,7.3,49799,46647,3152,6.3,48125,45406,2719,5.6,48079,45396,2683,5.6,48778,45986,2792,5.7,50273,46793,3480,6.9,48938,46465,2473,5.1,48730,46597,2133,4.4,49585,47337,2248,4.5,55254,74.3,2,4,3,3,13262,10004,3551,3228,44.1,33.3,11.8,10.7,15005,16715,9726,6650,31.2,34.8,20.2,13.8,14876,16357,20147,9850,24.3,26.7,32.9,16.1,15563,18670,27294,14247,20.5,24.6,36,18.8,13054,21853,34014,19884,14.7,24.6,38.3,22.4,9624,22464,32484,24687,10.8,25.2,36.4,27.7
04019,AZ,Pima,2019,13.3%,136740,24%,18%,12%,185%,72%,28%,18.9%,40990,72%,28%,$3.22,$18.16,"$75,319,000",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,12.8,15.2,17.9,15.3,20.5,1,2,1,409884,394670,15214,3.7,416341,398250,18091,4.3,424352,399866,24486,5.8,428187,405261,22926,5.4,437675,417344,20331,4.6,438417,418851,19566,4.5,448856,430294,18562,4.1,456210,439740,16470,3.6,473209,447233,25976,5.5,486097,443226,42871,8.8,479984,435352,44632,9.3,469332,429711,39621,8.4,466804,432392,34412,7.4,462267,430789,31478,6.8,465898,437713,28185,6,467826,442099,25727,5.5,471452,447695,23757,5,464230,443046,21184,4.6,470435,449635,20800,4.4,482462,460801,21661,4.5,481338,444682,36656,7.6,482454,457762,24692,5.1,486536,468109,18427,3.8,494336,475422,18914,3.8,64007,86.1,2,1,2,1,68625,61658,26479,29181,36.9,33.2,14.2,15.7,78861,102314,65114,64296,25.4,32.9,21,20.7,82657,105908,136764,98703,19.5,25,32.3,23.3,90483,127343,182266,146108,16.6,23.3,33.4,26.7,84390,148457,225839,190911,13,22.9,34.8,29.4,72430,152567,236991,258412,10.1,21.2,32.9,35.9
04019,AZ,Pima,2020,12.6%,130860,23%,18%,10%,185%,71%,29%,19.4%,41880,74%,26%,$3.31,$17.57,"$69,735,000",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,12.8,15.2,17.9,15.3,20.5,1,2,1,409884,394670,15214,3.7,416341,398250,18091,4.3,424352,399866,24486,5.8,428187,405261,22926,5.4,437675,417344,20331,4.6,438417,418851,19566,4.5,448856,430294,18562,4.1,456210,439740,16470,3.6,473209,447233,25976,5.5,486097,443226,42871,8.8,479984,435352,44632,9.3,469332,429711,39621,8.4,466804,432392,34412,7.4,462267,430789,31478,6.8,465898,437713,28185,6,467826,442099,25727,5.5,471452,447695,23757,5,464230,443046,21184,4.6,470435,449635,20800,4.4,482462,460801,21661,4.5,481338,444682,36656,7.6,482454,457762,24692,5.1,486536,468109,18427,3.8,494336,475422,18914,3.8,64007,86.1,2,1,2,1,68625,61658,26479,29181,36.9,33.2,14.2,15.7,78861,102314,65114,64296,25.4,32.9,21,20.7,82657,105908,136764,98703,19.5,25,32.3,23.3,90483,127343,182266,146108,16.6,23.3,33.4,26.7,84390,148457,225839,190911,13,22.9,34.8,29.4,72430,152567,236991,258412,10.1,21.2,32.9,35.9
04019,AZ,Pima,2021,10.9%,112480,20%,15%,9%,185%,69%,31%,14.7%,31790,70%,31%,$3.58,$20.83,"$71,064,000",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,12.8,15.2,17.9,15.3,20.5,1,2,1,409884,394670,15214,3.7,416341,398250,18091,4.3,424352,399866,24486,5.8,428187,405261,22926,5.4,437675,417344,20331,4.6,438417,418851,19566,4.5,448856,430294,18562,4.1,456210,439740,16470,3.6,473209,447233,25976,5.5,486097,443226,42871,8.8,479984,435352,44632,9.3,469332,429711,39621,8.4,466804,432392,34412,7.4,462267,430789,31478,6.8,465898,437713,28185,6,467826,442099,25727,5.5,471452,447695,23757,5,464230,443046,21184,4.6,470435,449635,20800,4.4,482462,460801,21661,4.5,481338,444682,36656,7.6,482454,457762,24692,5.1,486536,468109,18427,3.8,494336,475422,18914,3.8,64007,86.1,2,1,2,1,68625,61658,26479,29181,36.9,33.2,14.2,15.7,78861,102314,65114,64296,25.4,32.9,21,20.7,82657,105908,136764,98703,19.5,25,32.3,23.3,90483,127343,182266,146108,16.6,23.3,33.4,26.7,84390,148457,225839,190911,13,22.9,34.8,29.4,72430,152567,236991,258412,10.1,21.2,32.9,35.9
04019,AZ,Pima,2022,14.0%,146200,24%,21%,12%,185%,66%,34%,19.7%,41510,66%,34%,$3.94,$24.44,"$108,366,000",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,12.8,15.2,17.9,15.3,20.5,1,2,1,409884,394670,15214,3.7,416341,398250,18091,4.3,424352,399866,24486,5.8,428187,405261,22926,5.4,437675,417344,20331,4.6,438417,418851,19566,4.5,448856,430294,18562,4.1,456210,439740,16470,3.6,473209,447233,25976,5.5,486097,443226,42871,8.8,479984,435352,44632,9.3,469332,429711,39621,8.4,466804,432392,34412,7.4,462267,430789,31478,6.8,465898,437713,28185,6,467826,442099,25727,5.5,471452,447695,23757,5,464230,443046,21184,4.6,470435,449635,20800,4.4,482462,460801,21661,4.5,481338,444682,36656,7.6,482454,457762,24692,5.1,486536,468109,18427,3.8,494336,475422,18914,3.8,64007,86.1,2,1,2,1,68625,61658,26479,29181,36.9,33.2,14.2,15.7,78861,102314,65114,64296,25.4,32.9,21,20.7,82657,105908,136764,98703,19.5,25,32.3,23.3,90483,127343,182266,146108,16.6,23.3,33.4,26.7,84390,148457,225839,190911,13,22.9,34.8,29.4,72430,152567,236991,258412,10.1,21.2,32.9,35.9
04019,AZ,Pima,2023,15.1%,158260,26%,22%,13%,185%,63%,37%,19.2%,40050,66%,34%,$3.51,$21.91,"$105,161,000",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,12.8,15.2,17.9,15.3,20.5,1,2,1,409884,394670,15214,3.7,416341,398250,18091,4.3,424352,399866,24486,5.8,428187,405261,22926,5.4,437675,417344,20331,4.6,438417,418851,19566,4.5,448856,430294,18562,4.1,456210,439740,16470,3.6,473209,447233,25976,5.5,486097,443226,42871,8.8,479984,435352,44632,9.3,469332,429711,39621,8.4,466804,432392,34412,7.4,462267,430789,31478,6.8,465898,437713,28185,6,467826,442099,25727,5.5,471452,447695,23757,5,464230,443046,21184,4.6,470435,449635,20800,4.4,482462,460801,21661,4.5,481338,444682,36656,7.6,482454,457762,24692,5.1,486536,468109,18427,3.8,494336,475422,18914,3.8,64007,86.1,2,1,2,1,68625,61658,26479,29181,36.9,33.2,14.2,15.7,78861,102314,65114,64296,25.4,32.9,21,20.7,82657,105908,136764,98703,19.5,25,32.3,23.3,90483,127343,182266,146108,16.6,23.3,33.4,26.7,84390,148457,225839,190911,13,22.9,34.8,29.4,72430,152567,236991,258412,10.1,21.2,32.9,35.9
