fips,state,county_state,number_of_food_insecure_persons_overall,number_of_food_insecure_children,percent_of_all_people_in_poverty_2023,percent_of_all_people_in_poverty_90_percent_confidence_inrerval_lower_bound,percent_of_people_in_poverty_2023_90_percent_confidence_interval_of_estimate_upper_bound,percent_of_childen_ages_0_17_in_poverty_2023,percent_of_childen_ages_0_17_in_poverty_2023_90_percent_confidence_interval_lower_bound,percent_of_childen_ages_0_17_in_poverty_2023_90_percent_confidence_interval_of_estimate_upper_bound,all_people_in_poverty_2023_90_percent_confidence_interval_lower_bound,all_people_in_poverty_2023_90_percent_confidence_interval_upper_bound,children_under_ages_0_17_in_poverty_2023_90_percent_confidence_interval_of_estimate_lower_bound,childen_ages_0_17_in_poverty_2023_upper_bound,percent_all_people_in_poverty_2023,lower_bound_all_people_in_poverty_2023,upper_bound_all_people_in_poverty_2023,percent_children_ages_0_17_in_poverty_2023,lower_bound_children_ages_0_17_in_poverty_2023,upper_bound_children_ages_0_17_in_poverty_2023,unemployed_2000,unemployment_rate_2000,unemployed_2001,unemployment_rate_2001,unemployed_2002,unemployment_rate_2002,unemployed_2003,unemployment_rate_2003,unemployed_2004,unemployment_rate_2004,unemployed_2005,unemployment_rate_2005,unemployed_2006,unemployment_rate_2006,unemployed_2007,unemployment_rate_2007,unemployed_2008,unemployment_rate_2008,unemployed_2009,unemployment_rate_2009,unemployed_2010,unemployment_rate_2010,unemployed_2011,unemployment_rate_2011,unemployed_2012,unemployment_rate_2012,unemployed_2013,unemployment_rate_2013,unemployed_2014,unemployment_rate_2014,unemployed_2015,unemployment_rate_2015,unemployed_2016,unemployment_rate_2016,unemployed_2017,unemployment_rate_2017,unemployed_2018,unemployment_rate_2018,unemployed_2019,unemployment_rate_2019,unemployed_2020,unemployment_rate_2020,unemployed_2021,unemployment_rate_2021,unemployed_2022,unemployment_rate_2022,unemployed_2023,unemployment_rate_2023,median_household_income_2022,med_hh_income_percent_of_state_total_2022
04003,AZ,Cochise,20490,5940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.3,13.8,18.8,19.6,14,25.2,2191,4.5,2446,4.8,3139,6,3072,5.7,2689,4.9,2650,4.8,2617,4.6,2274,4,3316,5.5,4897,7.8,5303,9.3,5320,9.5,4905,9,4803,9.3,4319,8.4,3695,7.3,3152,6.3,2719,5.6,2683,5.6,2792,5.7,3480,6.9,2473,5.1,2133,4.4,2248,4.5,55254,74.3
04019,AZ,Pima,158260,40050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,12.8,15.2,17.9,15.3,20.5,15214,3.7,18091,4.3,24486,5.8,22926,5.4,20331,4.6,19566,4.5,18562,4.1,16470,3.6,25976,5.5,42871,8.8,44632,9.3,39621,8.4,34412,7.4,31478,6.8,28185,6,25727,5.5,23757,5,21184,4.6,20800,4.4,21661,4.5,36656,7.6,24692,5.1,18427,3.8,18914,3.8,64007,86.1
04023,AZ,Santa Cruz,8960,2630,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.1,16.8,23.4,28.8,21.8,35.8,1216,8.2,1316,8.7,1569,10.2,1502,9.6,1471,9.5,1370,8.6,1297,7.8,1230,7.2,1853,10.4,2860,15.4,3169,15.2,3160,15.4,3136,15.5,3145,15.5,2645,13,2299,11.5,1965,10.2,1785,9.6,1717,9.2,1634,8.6,2138,11.3,1667,8.8,1410,7.5,1456,7.6,53467,71.9
04027,AZ,Yuma,40550,12520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.9,13.3,18.5,23,18.1,27.9,10574,16.4,10831,16.6,11868,17.1,12351,17,11504,15.7,11989,15.9,11810,15.2,10730,13.7,14540,17.4,19655,22.5,23210,25,22195,24.1,22585,23.9,24606,25.6,21552,22.9,20513,21.8,18081,19.1,16081,17.2,15948,16.9,16150,16.6,16317,17.1,12227,13.1,12152,12.5,13016,13.2,54209,72.9
06025,CA,Imperial,38670,13150,17.3,14.6,20,22.1,16.7,27.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9654,17.3,8883,16,8640,15.1,9247,15.7,10135,17,9649,15.9,9716,15.4,11798,17.9,16395,22.6,21676,28.3,23262,29.4,23310,29.3,21992,27.7,19774,25.3,18983,24.3,18886,24.6,18188,24.2,14163,19.7,13356,18.8,15250,20.7,16174,22.6,12027,17.5,10419,14.9,12657,17.3,55523,60.7
06073,CA,San Diego,394660,100740,10.1,9.5,10.7,11.6,10.1,13.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53104,3.9,59183,4.2,74783,5.2,76523,5.3,69881,4.7,63976,4.3,59338,4,68338,4.5,93573,6.1,152984,9.8,167029,11,159880,10.5,142651,9.3,122019,7.9,100114,6.5,81108,5.2,74103,4.7,63611,4,53165,3.4,51386,3.3,144969,9.4,100069,6.5,55203,3.5,62015,3.9,98365,107.5
35013,NM,Doña Ana,38040,11410,19.8,NA,NA,24.2,NA,NA,17.2,22.4,18.6,29.8,NA,NA,NA,NA,NA,NA,4718,6.2,4683,6.1,4875,6.2,5271,6.5,5045,6.2,4831,5.8,3964,4.7,3419,4,3999,4.6,6133,6.9,6914,7.4,6749,7.3,6730,7.2,7025,7.5,6797,7.2,7027,7.4,6980,7.2,6498,6.7,5491,5.7,5681,5.8,7534,7.8,6808,6.9,4408,4.4,4390,4.3,52011,86.9
35017,NM,Grant,4950,1280,19.9,NA,NA,27.2,NA,NA,15.7,24.1,18.3,36.1,NA,NA,NA,NA,NA,NA,752,5.9,821,6.3,1240,9.8,1211,10.3,987,8.4,720,6.1,518,4.3,442,3.7,580,4.7,1401,12,1137,9.3,889,7,849,6.5,871,6.7,821,6.5,822,6.5,819,6.5,744,6,594,4.8,594,4.9,989,8.4,861,7.5,481,4.2,411,3.5,47099,78.7
35023,NM,Hidalgo,670,210,24,NA,NA,32.7,NA,NA,18.1,29.9,22.2,43.2,NA,NA,NA,NA,NA,NA,181,6.9,155,6.1,105,4.4,121,5.1,139,5.9,123,5.1,86,3.6,72,2.9,107,4.1,204,7.7,187,8.2,165,7.3,168,7.2,164,7.5,152,7,135,6.3,124,5.6,109,5.1,84,3.8,90,4.3,105,5.5,108,5.7,65,3.4,58,3.3,43610,72.9
35029,NM,Luna,5810,2100,26.4,NA,NA,37.6,NA,NA,20.9,31.9,27.2,48,NA,NA,NA,NA,NA,NA,1684,15.8,1782,16.7,1649,14.9,1919,16,1855,15.6,1637,13.2,1324,10.9,1180,9.7,1416,11.7,2018,16.6,2228,19.3,2220,19.5,2243,19.6,2152,18.9,2037,17.9,1946,17.5,1587,14.6,1479,13.9,1202,11.8,1282,12.3,1553,15.3,1547,15.3,984,10,1012,10,38796,64.8
